13,1162
13,1448
13,4481
13,5537
202,1162
202,1448
202,4481
202,5537
834,1162
834,1448
834,4481
834,5537
2009,1162
2009,1448
2009,4481
2009,5537
22,2169
24,2073
3457,2073
26,258
26,2436
26,2449
26,2850
443,258
443,2436
443,2449
443,2850
738,258
738,2436
738,2449
738,2850
1064,258
1064,2436
1064,2449
1064,2850
2100,258
2100,2436
2100,2449
2100,2850
27,2422
27,5480
27,5745
27,6325
27,6346
27,6501
861,2422
861,5480
861,5745
861,6325
861,6346
861,6501
1481,2422
1481,5480
1481,5745
1481,6325
1481,6346
1481,6501
1674,2422
1674,5480
1674,5745
1674,6325
1674,6346
1674,6501
2780,2422
2780,5480
2780,5745
2780,6325
2780,6346
2780,6501
3149,2422
3149,5480
3149,5745
3149,6325
3149,6346
3149,6501
3338,2422
3338,5480
3338,5745
3338,6325
3338,6346
3338,6501
33,6179
38,2622
44,291
47,6748
48,256
48,723
48,1308
48,2110
48,4095
48,4551
48,4946
48,6864
364,256
364,723
364,1308
364,2110
364,4095
364,4551
364,4946
364,6864
623,256
623,723
623,1308
623,2110
623,4095
623,4551
623,4946
623,6864
1231,256
1231,723
1231,1308
1231,2110
1231,4095
1231,4551
1231,4946
1231,6864
1675,256
1675,723
1675,1308
1675,2110
1675,4095
1675,4551
1675,4946
1675,6864
1773,256
1773,723
1773,1308
1773,2110
1773,4095
1773,4551
1773,4946
1773,6864
2030,256
2030,723
2030,1308
2030,2110
2030,4095
2030,4551
2030,4946
2030,6864
2123,256
2123,723
2123,1308
2123,2110
2123,4095
2123,4551
2123,4946
2123,6864
3166,256
3166,723
3166,1308
3166,2110
3166,4095
3166,4551
3166,4946
3166,6864
55,4156
55,6222
55,6656
55,6865
58,2208
227,2208
63,2275
66,71
66,1054
66,5802
66,6239
66,6427
3501,71
3501,1054
3501,5802
3501,6239
3501,6427
80,6546
1934,6546
84,2070
84,6183
3545,2070
3545,6183
91,5336
98,2771
98,3259
100,4407
3526,4407
104,2333
1691,2333
114,1650
119,6502
122,3646
125,5817
1234,5817
126,6186
130,906
130,2645
1937,906
1937,2645
131,2083
131,3100
131,3429
132,1232
963,1232
1659,1232
2022,1232
2587,1232
3429,1232
133,2301
146,2087
150,2092
152,2662
154,1185
154,2251
154,3161
495,1185
495,2251
495,3161
2157,1185
2157,2251
2157,3161
155,2497
158,2273
161,1093
162,484
162,1264
162,2016
162,3560
162,4368
162,4369
162,5182
165,2123
165,5680
167,2374
171,2509
190,1732
190,2293
1980,1732
1980,2293
199,2327
199,3053
214,2253
222,2002
222,4874
222,5597
222,6200
222,6238
222,6310
2400,2002
2400,4874
2400,5597
2400,6200
2400,6238
2400,6310
3478,2002
3478,4874
3478,5597
3478,6200
3478,6238
3478,6310
230,2298
233,3713
233,6108
233,6268
3311,3713
3311,6108
3311,6268
242,4058
3328,4058
244,4847
245,2257
251,6275
2890,6275
261,5148
263,1930
263,2581
2289,1930
2289,2581
3042,1930
3042,2581
268,2437
268,4953
268,6396
3459,2437
3459,4953
3459,6396
273,837
273,2713
273,3465
273,6435
2641,837
2641,2713
2641,3465
2641,6435
276,6138
1577,6138
287,637
1142,637
296,1860
296,2761
2666,1860
2666,2761
297,3957
297,6040
297,6117
426,3957
426,6040
426,6117
1328,3957
1328,6040
1328,6117
1350,3957
1350,6040
1350,6117
2618,3957
2618,6040
2618,6117
